Title|PageLink|Date|Section|Author
El arte de buscar el precio justo de las cosas |https://retina.elpais.com/retina/2017/08/30/innovacion/1504083698_625757.html|2017-08-31T12:57:41+02:00|El País Retina|El País Retina
Un ‘crowdfunding’ para pagar la carrera |https://retina.elpais.com/retina/2017/08/02/innovacion/1501665472_391211.html|2017-08-17T09:43:34+02:00|El País Retina|El País Retina
Qué tipo de ‘crowdfunding’ le conviene a mi proyecto |https://retina.elpais.com/retina/2017/08/01/tendencias/1501599053_021034.html|2017-08-02T08:36:05+02:00|Marta Antúnez|Marta Antúnez
¿Para cuándo la Spanish Tech? |https://retina.elpais.com/retina/2017/07/28/tendencias/1501237378_640520.html|2017-07-31T07:46:20+02:00|Jaime Rodríguez|Jaime Rodríguez
Errores que debes evitar para no liarla con tu ‘pitch’ |https://retina.elpais.com/retina/2017/07/20/innovacion/1500561342_925257.html|2017-07-26T16:36:13+02:00|M. Victoria S. Nadal & Olivia L. B (vídeo)|M. Victoria S. Nadal & Olivia L. B (vídeo)
Transformación digital significa profesionalizar la empresa |https://retina.elpais.com/retina/2017/07/24/innovacion/1500889594_823401.html|2017-07-24T17:24:12+02:00|Manuel Monterrubio|Manuel Monterrubio
Las ‘startups’ españolas afincadas en Londres temen el efecto ‘brexit’ |https://retina.elpais.com/retina/2017/07/18/innovacion/1500376282_025387.html|2017-07-20T08:50:59+02:00|Ana Sepúlveda & Olivia L. Bueno (vídeo)|Ana Sepúlveda & Olivia L. Bueno (vídeo)
Las ideas, el principal activo de un proyecto empresarial |https://retina.elpais.com/retina/2017/07/16/innovacion/1500200011_540649.html|2017-07-17T10:08:20+02:00|El País Retina|El País Retina
Si tu ‘startup’ gana un premio a la innovación estás dentro del circuito |https://retina.elpais.com/retina/2017/07/10/innovacion/1499700264_719579.html|2017-07-14T10:58:01+02:00|Esther Molina|Esther Molina
Ideas Camp: lo que no se mide no se puede controlar |https://retina.elpais.com/retina/2017/07/14/innovacion/1500019235_731867.html|2017-07-16T12:09:11+02:00|El País Retina|El País Retina
Hablar en público: la oportunidad para brillar |https://retina.elpais.com/retina/2017/07/13/innovacion/1499930574_141012.html|2017-07-14T18:27:38+02:00|El País Retina|El País Retina
La ‘startup’ que convierte las bicis en ‘smart bikes’ |https://retina.elpais.com/retina/2018/03/14/innovacion/1521029093_478580.html|2018-03-15T13:38:23+01:00|Jaime Porras Ferreyra|Jaime Porras Ferreyra
Las mujeres luchan por su hueco en las ‘startups’ |https://retina.elpais.com/retina/2018/03/09/tendencias/1520587469_083164.html|2018-03-09T11:06:00+01:00|Jorge G. García |Jorge G. García 
“No seamos espectadoras: tenemos que ser actrices de esta historia” |https://retina.elpais.com/retina/2018/03/07/tendencias/1520423408_852425.html|2018-03-09T06:33:41+01:00|El País Retina |El País Retina 
La última aventura del expresidente de Hawkers |https://retina.elpais.com/retina/2018/02/28/innovacion/1519815275_523400.html|2018-03-04T22:17:35+01:00|Javier Cortés|Javier Cortés
¿Y si consultar el genoma fuera tan fácil como echar mano del móvil? |https://retina.elpais.com/retina/2018/03/02/innovacion/1520009684_965171.html|2018-03-03T01:41:21+01:00|Manuel G. Pascual & Olivia L. Bueno (vídeo)|Manuel G. Pascual & Olivia L. Bueno (vídeo)
Los mejores espacios de coworking de Madrid |https://retina.elpais.com/retina/2018/02/21/innovacion/1519206738_245067.html|2018-02-22T14:28:19+01:00|El País Retina|El País Retina
Las startups a seguir según Carina Szpilka |https://retina.elpais.com/retina/2018/02/15/innovacion/1518707337_546273.html|2018-02-19T12:20:26+01:00|Rebeca Gimeno|Rebeca Gimeno
Encuesta: ¿Conoces Estartapeando? |https://retina.elpais.com/retina/2018/02/15/tendencias/1518701053_937303.html|2018-02-21T14:04:00+01:00|El País Retina|El País Retina
“Hay más financiación que nunca para startups tecnológicas” |https://retina.elpais.com/retina/2018/02/15/innovacion/1518699564_490220.html|2018-02-19T06:14:29+01:00|Rebeca Gimeno|Rebeca Gimeno
Francesca Bria: Transparencia |https://retina.elpais.com/retina/2018/02/15/tendencias/1518688740_149838.html|2018-02-16T16:06:20+01:00|Manuel González Pascual|Manuel González Pascual
Así es emprender desde cero y sin apoyo financiero |https://retina.elpais.com/retina/2018/02/14/innovacion/1518623049_418155.html|2018-03-16T06:13:50+01:00|Rafael Tamames|Rafael Tamames
Cultivando intraemprendedores |https://retina.elpais.com/retina/2018/02/02/talento/1517564861_176971.html|2018-02-05T07:12:39+01:00|David del Val|David del Val
El gran altavoz de la innovación |https://retina.elpais.com/retina/2018/02/02/innovacion/1517564947_174209.html|2018-02-05T07:08:31+01:00|No autor|No autor
Laura González-Estéfani: “Ya no hace falta estar en Silicon Valley para hacer un gran producto” |https://retina.elpais.com/retina/2018/02/01/innovacion/1517484256_968175.html|2018-02-02T06:16:54+01:00|Rosa Jiménez Cano|Rosa Jiménez Cano
¿Rendimos más cuando trabajamos en un entorno natural? |https://retina.elpais.com/retina/2018/01/29/talento/1517240540_744985.html|2018-01-31T10:35:11+01:00|M. Victoria S. Nadal|M. Victoria S. Nadal
Huawei y El País Retina premian una app de recetas |https://retina.elpais.com/retina/2018/01/26/innovacion/1516952828_765722.html|2018-01-26T09:19:22+01:00|El País Retina|El País Retina
El MIT apuesta por la innovación en Madrid |https://retina.elpais.com/retina/2018/01/16/innovacion/1516135821_099147.html|2018-01-18T11:11:21+01:00|Javier Cortés|Javier Cortés
El ultraindividualismo de Silicon Valley tiene su filósofa rusa de cabecera |https://retina.elpais.com/retina/2018/01/16/tendencias/1516104254_793936.html|2018-01-17T06:11:16+01:00|Tomás López Morales |Tomás López Morales 
Chequeos a un euro... y a distancia |https://retina.elpais.com/retina/2018/01/09/innovacion/1515512737_185174.html|2018-01-11T08:56:43+01:00|Esther Paniagua|Esther Paniagua
‘Startups’ para exprimir el sueño chino |https://retina.elpais.com/retina/2017/12/28/innovacion/1514459085_217436.html|2018-01-03T06:47:46+01:00|Zigor Aldama|Zigor Aldama
Inés Larrea: “Con la analítica digital sabemos qué artículos generan más interés y los llevamos a los ‘showrooms” |https://retina.elpais.com/retina/2018/01/02/tendencias/1514897274_420372.html|2018-01-02T13:52:00+01:00|Mariano Ahijado|Mariano Ahijado
Pedro Castillo: “Queremos democratizar el análisis de datos” |https://retina.elpais.com/retina/2017/11/23/tendencias/1511443842_721528.html|2018-01-02T13:30:50+01:00|Hugo Gutiérrez|Hugo Gutiérrez
Miguel Vicente: “Para emprender hay que estar un poco loco” |https://retina.elpais.com/retina/2017/11/23/tendencias/1511432401_900010.html|2018-01-02T12:53:31+01:00|Rebeca Gimeno|Rebeca Gimeno
‘Meaningful innovation’: la innovación al servicio de las personas |https://retina.elpais.com/retina/2017/12/28/tendencias/1514459120_057127.html|2017-12-31T10:54:52+01:00|Carlos Barrabés|Carlos Barrabés
El cerebro español de la inversión ‘fintech’ en Rakuten |https://retina.elpais.com/retina/2017/12/28/innovacion/1514467374_098379.html|2017-12-30T11:32:47+01:00|Tomás López Morales|Tomás López Morales
Tras Cabify, Seaya Ventures busca más unicornios que hablen español |https://retina.elpais.com/retina/2017/12/19/innovacion/1513692348_055977.html|2017-12-21T07:37:06+01:00|Tomás López Morales|Tomás López Morales
¿Y si pudiéramos ordenar el alud de datos que generan los hospitales? |https://retina.elpais.com/retina/2017/12/07/innovacion/1512647622_548507.html|2018-01-15T07:04:54+01:00|El País Retina|El País Retina
El floreciente ecosistema emprendedor español, en cifras |https://retina.elpais.com/retina/2017/12/05/innovacion/1512471825_034678.html|2017-12-07T13:34:03+01:00|Guillermo Vega|Guillermo Vega
El Vaticano lanza su propia aceleradora de ‘startups’ |https://retina.elpais.com/retina/2017/12/06/innovacion/1512565044_205846.html|2017-12-07T11:05:56+01:00|Denise Zani|Denise Zani
El español que enseñaba robótica a los chinos |https://retina.elpais.com/retina/2017/11/29/innovacion/1511977970_432667.html|2017-12-04T07:32:17+01:00|Zigor Aldama|Zigor Aldama
Enviar flores recién cortadas del campo está al alcance de un clic |https://retina.elpais.com/retina/2018/06/07/innovacion/1528368603_210079.html|2018-06-07T22:24:32+02:00|El País Retina|El País Retina
Silvia Leal, una mente visionaria |https://retina.elpais.com/retina/2018/05/30/tendencias/1527694617_360013.html|2018-06-05T06:13:53+02:00|Hugo Gutiérrez|Hugo Gutiérrez
Una ‘app’ para no perder la cabeza contratando tus seguros |https://retina.elpais.com/retina/2018/05/30/innovacion/1527692375_024600.html|2018-05-31T22:04:52+02:00|El País Retina|El País Retina
Un club de vinos que se contrata como Netflix (y es más barato) |https://retina.elpais.com/retina/2018/05/28/innovacion/1527501882_785040.html|2018-05-29T06:24:50+02:00|El País Retina|El País Retina
Derbaix: “Muchos emprendedores invertimos creyéndonos los reyes del mambo y fallamos un montón” |https://retina.elpais.com/retina/2018/05/21/talento/1526913541_585230.html|2018-05-27T01:10:30+02:00|Javier Cortés|Javier Cortés
Las siete ‘startups’ disruptivas que se dieron cita en #Techpreneurs |https://retina.elpais.com/retina/2018/05/24/innovacion/1527179947_160774.html|2018-05-25T06:25:19+02:00|Javier Cortés|Javier Cortés
Manual para ‘startups’: requisitos para enamorar a una gran empresa |https://retina.elpais.com/retina/2018/05/24/innovacion/1527197191_121590.html|2018-05-26T02:08:42+02:00|Javier Cortés|Javier Cortés
Así te hemos contado el evento que ha unido a ‘startups’ y grandes empresas |https://retina.elpais.com/retina/2018/05/22/innovacion/1526981392_423738.html|2018-05-24T18:39:32+02:00|El País Retina|El País Retina
Qué puede aprender un emprendedor del cantante de Iron Maiden |https://retina.elpais.com/retina/2018/05/16/talento/1526466409_470861.html|2018-05-17T12:20:57+02:00|Manuel G. Pascual|Manuel G. Pascual
Una ‘app’ para aprobar el carnet de conducir jugando en tu tiempo libre |https://retina.elpais.com/retina/2018/05/09/innovacion/1525876789_280569.html|2018-05-10T06:16:08+02:00|El País Retina |El País Retina 
François Derbaix |https://retina.elpais.com/retina/2018/04/30/eventos/1525105409_461708.html|2018-05-07T17:44:14+02:00|No autor|No autor
Amrit Dhir |https://retina.elpais.com/retina/2018/05/04/eventos/1525444081_564002.html|2018-05-04T16:29:05+02:00|No autor|No autor
Sofía Benjumea |https://retina.elpais.com/retina/2018/05/03/eventos/1525341464_607355.html|2018-05-04T16:19:46+02:00|No autor|No autor
Elena Gil |https://retina.elpais.com/retina/2018/04/30/eventos/1525105549_830805.html|2018-05-04T13:50:03+02:00|No autor|No autor
Así funciona la ‘red de ángeles’ para financiar tu ‘startup’ |https://retina.elpais.com/retina/2018/04/25/tendencias/1524647008_453243.html|2018-05-04T06:41:44+02:00|Javier Cortés|Javier Cortés
Blanca Drake |https://retina.elpais.com/retina/2018/04/30/eventos/1525090632_055400.html|2018-05-03T15:33:16+02:00|No autor|No autor
Paulo Rodrigues |https://retina.elpais.com/retina/2018/05/03/eventos/1525340313_735345.html|2018-05-17T18:27:40+02:00|No autor|No autor
Gala Gil Amat |https://retina.elpais.com/retina/2018/04/30/eventos/1525090196_863044.html|2018-05-04T11:58:22+02:00|No autor|No autor
Jorge Schnura |https://retina.elpais.com/retina/2018/04/30/eventos/1525100130_492799.html|2018-05-03T15:29:29+02:00|No autor|No autor
Ana Jiménez |https://retina.elpais.com/retina/2018/04/30/eventos/1525089652_999695.html|2018-05-03T15:28:25+02:00|No autor|No autor
